{-9/4, 3*sqrt(7)/4}
{-209/96 - sqrt(33)/96 + sqrt(77)/32 + 7*sqrt(21)/32, sqrt(11)/96 + 7*sqrt(3)/96 + sqrt(231)/32 + 17*sqrt(7)/32}
{-221/96 - sqrt(77)/32 + sqrt(33)/96 + 3*sqrt(21)/32, -sqrt(231)/32 - sqrt(11)/96 + sqrt(3)/32 + 29*sqrt(7)/32}
{-217/96 - sqrt(77)/32 + sqrt(33)/96 + 7*sqrt(21)/32, -sqrt(231)/32 - sqrt(11)/96 + 7*sqrt(3)/96 + 25*sqrt(7)/32}
{-209/96 - sqrt(33)/96 + sqrt(77)/32 + 3*sqrt(21)/32, sqrt(11)/96 + sqrt(3)/32 + sqrt(231)/32 + 17*sqrt(7)/32}
{-221/96 - sqrt(77)/32 + sqrt(33)/96 + 7*sqrt(21)/32, -sqrt(231)/32 - sqrt(11)/96 + 7*sqrt(3)/96 + 29*sqrt(7)/32}
{-73/32 + sqrt(33)/96 + sqrt(21)/32 + 3*sqrt(77)/32, -sqrt(231)/32 + sqrt(3)/96 + sqrt(11)/32 + 27*sqrt(7)/32}
{-73/32 + sqrt(33)/96 + 5*sqrt(21)/32 + 3*sqrt(77)/32, -sqrt(231)/32 + 5*sqrt(3)/96 + sqrt(11)/32 + 27*sqrt(7)/32}
{-7/3 + sqrt(33)/48 + sqrt(77)/16 + sqrt(21)/8, -sqrt(231)/16 + sqrt(11)/48 + sqrt(3)/24 + sqrt(7)}
{-113/48 + sqrt(33)/48 + sqrt(21)/16 + sqrt(77)/16, -sqrt(231)/16 + sqrt(3)/48 + sqrt(11)/48 + 17*sqrt(7)/16}
{-53/24 + sqrt(77)/8, sqrt(11)/24 + 5*sqrt(7)/8}
{-107/48 - sqrt(21)/16 + sqrt(77)/8, -sqrt(3)/48 + sqrt(11)/24 + 11*sqrt(7)/16}
{-7/3 + sqrt(33)/48 + sqrt(77)/16, -sqrt(231)/16 + sqrt(11)/48 + sqrt(7)}
{-113/48 - sqrt(21)/16 + sqrt(33)/48 + sqrt(77)/16, -sqrt(231)/16 - sqrt(3)/48 + sqrt(11)/48 + 17*sqrt(7)/16}
{-13/6 + sqrt(77)/16 + 3*sqrt(21)/16, sqrt(11)/48 + sqrt(3)/16 + sqrt(7)/2}
{-53/24 + sqrt(77)/16 + 3*sqrt(21)/16, sqrt(11)/48 + sqrt(3)/16 + 5*sqrt(7)/8}
{-69/32 - sqrt(33)/96 + 3*sqrt(21)/32 + 3*sqrt(77)/32, sqrt(3)/32 + sqrt(11)/32 + sqrt(231)/32 + 15*sqrt(7)/32}
{-9/4 + sqrt(77)/16 + 3*sqrt(21)/16, sqrt(11)/48 + sqrt(3)/16 + 3*sqrt(7)/4}
{-107/48 + sqrt(77)/16 + sqrt(21)/8, sqrt(11)/48 + sqrt(3)/24 + 11*sqrt(7)/16}
